LiCl + 1wt%NiCl2 Sound Speed Results
############################################		
Temperature (C), Sound Speed (m/s)
694.5, 2007.6447210677422
694.5, 1988.406793220469
694.5, 1986.933969608872
694.5, 1976.141241083564
694.5, 1982.2624822315051
694.5, 1968.0149422687127
694.5, 1973.4829966112775
694.5, 1956.5694284785943
694.5, 1988.222086737728
694.5, 1980.5671342621595
703.5, 1977.8321528010263
703.5, 1969.084061322138
703.5, 1962.4607487692238
703.5, 1979.8602256521062
703.5, 1973.7285848997467
703.5, 1971.4362463286677
703.5, 1969.9660929336396
703.5, 1968.8130107244558
703.5, 1981.1471176695222
703.5, 1966.188697914029
713.9, 1955.753525588734
713.9, 1961.8283623691914
713.9, 1953.846092315831
713.9, 1962.3751233468213
713.9, 1960.7151532223065
713.9, 1966.6399312148735
713.9, 1953.7130663140006
713.9, 1965.4205581258032
713.9, 1957.4483519183477
713.9, 1964.7712783195987
724.8, 1957.2130049548275
724.8, 1958.1082977050505
724.8, 1946.2730348789632
724.8, 1956.5933462288676
724.8, 1958.7832244253302
724.8, 1947.786749769758
724.8, 1950.9755484576028
724.8, 1959.0785376142946
724.8, 1955.3689785653312
724.8, 1950.153047448417
733.8, 1931.1106365206715
733.8, 1940.8262005619754
733.8, 1945.8886965900322
733.8, 1939.9444705762244
733.8, 1967.7482917592388
733.8, 1958.6238067243753
733.8, 1944.3131830265488
733.8, 1949.614922415936
733.8, 1948.915452201793
733.8, 1967.5493399811976
