LiCl + 1wt%NiCl2 Thermal Diffusivity Results
############################################		
Temperature (C), Thermal Diffusivity (m^2/s)
684.3, 3.012150892822485e-07
684.3, 2.75621769988709e-07
684.3, 2.751572308260992e-07
684.3, 2.8054934662542273e-07
684.3, 2.8232463616252517e-07
684.3, 2.7905491830970166e-07
684.3, 2.787830935666788e-07
684.3, 2.7906408666962074e-07
684.3, 2.787511438943183e-07
684.3, 2.7715701514425125e-07
694.5, 2.8267689245624216e-07
694.5, 2.8406641560397133e-07
694.5, 2.8612968253883354e-07
694.5, 2.86869670295717e-07
694.5, 2.8251326435504015e-07
694.5, 2.836336761796144e-07
694.5, 2.8350448805563317e-07
694.5, 2.836422876017099e-07
694.5, 2.8535599709009614e-07
694.5, 2.8695130993688366e-07
705.0, 2.856378970099638e-07
705.0, 2.867918020531555e-07
705.0, 2.8423053758867825e-07
705.0, 2.901213382021899e-07
705.0, 2.926278605005099e-07
705.0, 2.8484107151637635e-07
705.0, 2.8608842923387825e-07
705.0, 2.907785808947901e-07
705.0, 2.7921588818508855e-07
705.0, 2.927719626697451e-07
716.0, 2.8927662245695425e-07
716.0, 2.8625438203419655e-07
716.0, 2.898168500063995e-07
716.0, 2.8587919629107055e-07
716.0, 2.8723831615481624e-07
716.0, 2.884223725670069e-07
716.0, 2.654289371193281e-07
716.0, 2.895214815246015e-07
716.0, 2.836454046770898e-07
716.0, 2.874362426702737e-07
724.8, 2.865148580360718e-07
724.8, 2.781356270336961e-07
724.8, 2.846790417793168e-07
724.8, 2.826570079701305e-07
724.8, 2.836407869955005e-07
724.8, 3.0386041854499334e-07
724.8, 2.7679086231899466e-07
724.8, 2.9243771835155554e-07
724.8, 2.86268924624606e-07
724.8, 2.8195080483626664e-07
